PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Jose Altuve,HOU,2,7,0,1,0,0,0,1,0,2,0,0,.143,.125,.143,.268
Ozzie Albies,ATL,2,8,0,1,0,0,0,0,0,4,1,0,.125,.125,.125,.250
Matt Olson,ATL,2,8,0,1,0,0,0,0,0,1,0,0,.125,.125,.125,.250
Adley Rutschman,BAL,2,8,0,1,0,0,0,0,0,2,0,0,.125,.125,.125,.250
Anthony Santander,BAL,2,8,0,1,0,0,0,0,0,2,0,0,.125,.125,.125,.250
Austin Wells,NYY,6,24,0,2,0,0,0,2,2,10,0,0,.083,.154,.083,.237
Gunnar Henderson,BAL,2,7,0,0,0,0,0,0,2,4,0,0,.000,.222,.000,.222
Alec Bohm,PHI,4,13,0,1,0,0,0,0,1,0,0,0,.077,.143,.077,.220
Brandon Marsh,PHI,4,13,0,1,0,0,0,0,0,3,0,0,.077,.077,.077,.154
Kyle Tucker,HOU,2,7,0,0,0,0,0,0,1,2,0,0,.000,.125,.000,.125
Rhys Hoskins,MIL,3,9,0,0,0,0,0,1,0,3,0,0,.000,.100,.000,.100
Ramón Laureano,ATL,2,8,0,0,0,0,0,0,0,4,0,0,.000,.000,.000,.000
Ryan Mountcastle,BAL,2,7,0,0,0,0,0,0,0,4,0,0,.000,.000,.000,.000
Joey Ortiz,MIL,3,11,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
Gio Urshela,ATL,2,6,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
